"","x"
"ep59_13","zaparcia"
"ep59_14","krwawienie z nosa"
"ep59_15","gwałtowne skoki ciśnienia krwi"
"ep60","Ogólnie rzecz biorąc, czy uważa Pani, że można ufać większości ludzi, czy też sądzi Pani, że w postępowaniu z ludźmi ostrożności nigdy za wiele?"
"ep61","Czy jest Pani członkiem jakichś organizacji, stowarzyszeń, partii, komitetów, rad, grup religijnych, związków lub kół?"
"ep62","czy pełniła Pani kiedykolwiek jakieś funkcje w takich organizacjach?"
"ep63","Czy używa Pani komputera w pracy, w domu lub w innym miejscu, przynajmniej od czasu do czasu?"
"ep64_1","Zadowolenie ze swoich stosunków z najbliższymi w rodzinie"
"ep64_2","Zadowolenie z sytuacji finansowej własnej rodziny"
"ep64_3","Zadowolenie ze stosunków z koleżankami (grupą przyjaciół)"
"ep64_4","Zadowolenie z obecnych dochodów rodziny `"
"ep64_5","Zadowolenie z możliwości zaspokojenia potrzeb żywnościowych"
"ep64_6","Zadowolenie ze stanu swojego zdrowia"
"ep64_7","Zadowolenie ze swoich osiągnięć życiowych"
"ep64_8","Zadowolenie z sytuacji w kraju"
"ep64_9","Zadowolenie z warunków mieszkaniowych"
"ep64_10","Zadowolenie z miejscowości, w której Pani żyje"
"ep64_11","Zadowolenie z poziomu dostępnych dóbr i usług"
"ep64_12","Zadowolenie z perspektyw na przyszłość"
"ep64_13","Zadowolenie z życia seksualnego"
"ep64_14","Zadowolenie ze swego wykształcenia"
"ep64_15","Zadowolenie ze sposobu spędzania wolnego czasu"
"ep64_16","Zadowolenie z norm moralnych panujących w otoczeniu"
"ep64_17","Zadoiwolenie z pracy"
"ep64_18","Zadowolenie z dzieci"
"ep64_19","Zadowolenie z małżeństwa"
"ep64_20","Zadowolenie ze stanu bezpieczeństwa w miejscu zamieszkania"
"ep65_1","ktoś płaci podatki mniejsze niż powinien"
"ep65_2","ktoś unika płacenia za korzystanie z transportu publicznego (np. autobusów, pociągów)"
"ep65_3","komuś udaje się nie płacić za światło"
"ep65_4","ktoś pobiera niesłusznie zasiłek dla bezrobotnych"
"ep65_5","ktoś nie płaci (choć może) czynszu za mieszkanie"
"ep65_6","ktoś sprowadza towary z zagranicy i nie płaci cła"
"ep66","Pani własny (osobisty) dochód miesięczny netto (na rękę) średnio z ostatnich trzech miesięcy wyniósł"
"ep67","Jakiego dochodu miesięcznie netto (na rękę) spodziewa się Pani za dwa lata?"
"ep68","Ile czasu poświęciła Pani przeciętnie dziennie w minionym tygodniu na oglądanie telewizji?"
"ep69_1","w kinie, teatrze lub na koncercie"
"ep69_2","w restauracji, kawiarni, pubie"
"ep69_3","na spotkaniu towarzyskim"
"ep69_4","na przyjęciu imieninowym, urodzinowym lub z innej okazji"
"ep70","korzystałam z porad psychologa (psychiatry)"
"ep71","piłam za dużo alkoholu"
"ep72","próbowałam narkotyków"
"ep73","zmarł ktoś bliski mi"
"ep74","nie mogłam znaleźć pracy po ukończeniu szkoły"
"ep75","zostałam przeniesiona na gorsze stanowisko"
"ep76","ominął mnie awans zawodowy"
"ep77","awansowałam"
"ep78","miałam poważne problemy z szefem"
"ep79","otworzyłam własny interes, założyłam firmę"
"ep80","na prowadzonych interesach straciłam dużo pieniędzy"
"ep81","okradziono mnie"
"ep82","zostałam napadnięta i pobita"
"ep83","włamano się do mojego domu lub samochodu"
"ep84","zostałam oskarżona o czyn, za który grozi kara więzienia lub grzywna"
"ep85","byłam zatrzymana przez policję"
"ep86","zostałam oskarżona w sprawie cywilnej"
"ep87","spowodowałam kolizję lub wypadek drogowy"
"ep88","bliska osoba została aresztowana lub miała kłopoty z prawem"
"ep89","byłam dyskryminowana ze względu na narodowość, wygląd, przekonania lub z innychpowodów"
"ep90","moje mieszkanie (dom) zostało poważenie zniszczone"
"ep91","przeprowadzony został remont mojego mieszkania (domu)"
"ep92","miałam kłopoty z właścicielem lub zarządcą budynku, w którym mieszkam (mieszkałam)"
"ep93","poważnie chorowałam"
"ep94","Co jest według Pani ważniejsze w życiu"
"ep95","Czy zamierza Pani w ciągu następnych dwóch lat wyjechać za granicę, aby tam pracować?"
"ekraj_PRACA1","cel emigracji zarobkowej - pierwsza odpowiedź"
"ekraj_PRACA2","cel emigracji zarobkowej - druga odpowiedź"
"ep96","jak długo?"
"ep97","Czy zamierza Pani w ciągu następnych dwóch lat wyjechać za granicę, aby się tam kształcić?"
"ekraj_NAUKA1","cel emigracji edukacyjnej - pierwsza odpowiedź"
"ekraj_NAUKA2","cel emigracji edukacyjnej - druga odpowiedź"
"ep98","jak długo?"
"ep99_1","Brak napięć i stresów"
"ep99_2","Duża samodzielność"
"ep99_3","Możliwość rozwoju osobistego"
"ep99_4","Praca zgodna z umiejętnościami"
"ep99_5","Możliwość szybkiego awansowania"
"ep99_6","Stabilność zatrudnienia"
"ep99_7","Dogodne godziny pracy"
"ep99_8","Możliwość wykonywania pracy w domu"
"ep99_9","Długi urlop"
"ep99_10","Zajęcie poważane przez ludzi"
"ep99_11","Odpowiednia płaca"
"ep99_12","Inne czynniki"
"ep100_1","praca w niepełnym wymiarze"
"ep100_2","praca w systemie zmianowym"
"ep100_3","elastyczny czas pracy"
"ep100_4","możliwość wykonywania części pracy w domu"
"ep100_5","więcej wolnych dni w tygodniu"
"ep100_6","dłuższy urlop macierzyński"
"ep100_7","dłuższy płatny urlop wychowawczy"
"ep100_8","wyższe zasiłki (np. wychowawczy, na dzieci itp.)"
"ep100_9","lepsze możliwości opieki poza domem nad dziećmi w wieku poniżej 7 lat (więcej żłobków i przedszkoli, dostosowanie czasu przebywania dzieci do pracy rodziców)"
"ep100_10","lepsze możliwości opieki poza domem nad dziećmi w wieku 7 -12 lat ( więcej zajęć pozalekcyjnych w szkołach, świetlice osiedlowe itp.)"
"ep101_1","Zaufanie do banków"
"ep101_2","Zaufanie do Sejmu"
"ep101_3","Zaufanie do Prezydenta"
"ep101_4","Zaufanie do funduszy inwestycyjnych"
"ep101_5","Zaufanie do funduszy emerytalnych"
"ep101_6","Zaufanie do Parlamentu Europejskiego"
"ep101_7","Zaufanie do policji"
"ep101_8","Zaufanie do rządu"
"ep101_9","Zaufanie do ZUS-u"
"ep102","Które z podanych stwierdzeń o demokracji jest Pani najbliższe?"
"ep103","Czy uprawia Pani aktywnie jakąś formę sportu, ćwiczeń fizycznych"
"ep104","Czy w latach 2005-2009 była Pani przez jakiś czas osobą bezrobotną"
"ep105_1","z powodu przerwy pomiędzy umowami o pracę u tego samego pracodawcy"
"ep105_2","własna decyzja"
"ep105_3","zwolnienie indywidualne"
"ep105_4","przymusowa przerwa w pracy spowodowana sytuacją pracodawcy"
"ep105_5","z powodu szkolenia/nauki"
"ep105_6","z powodów rodzinnych / osobistych"
"ep105_7","zwolnienie grupowe"
"ep105_8","zakończyła się umowa o pracę na czas określony"
"ep105_9","inne przyczyny"
"ep106_1","Są uzależnione od innych ludzi do końca życia"
"ep106_2","Powinny mieć specjalne przywileje w szkole"
"ep106_3","Poza niepełnosprawnością nie różnią się niczym od rówieśników"
"ep106_4","Powinny mieszkać z rodzicami/opiekunami tak długo, jak się da"
"ep106_5","Powinny otrzymać wszechstronną pomoc od państwa"
"ep106_6","Powinny starać się żyć możliwie jak najbardziej samodzielnie"
"ep106_7","Powinny mieć pierwszeństwo przy zatrudnianiu do pracy"
"ep106_8","Powinny kontynuować naukę do najwyższego możliwego szczebla"
"ep106_9","Powinny pracować zarobkowo, jeśli tylko mogą"
"ep106_10","jeśli Pani zdaniem osoby niepełnosprawne powinny pracować, to gdzie przede wszystkim?"
"ep106_11","Powinny pozostać w domu i utrzymywać się z renty"
"ep107_1","gdy nie ma dzieci w wieku do 12 lat"
"ep107_2","gdy są dzieci w wieku do 3 lat"
"ep107_3","gdy są dzieci w wieku od 3 do 6 lat"
"ep107_4","gdy są dzieci w wieku od 6 do 12 lat"
"ep108_1","zmiana godziny rozpoczęcia lub zakończenia dnia pracy,"
"ep108_2","wyjście z pracy przynajmniej na godzinę"
"ep108_3","wykonywanie niektórych obowiązków zawodowych w domu"
"ep109_1","jeśli wynagrodzenie byłoby wyższe, niż mam obecnie"
"ep109_2","jeśli praca byłaby ciekawsza niż obecna"
"ep109_3","jeśli  możliwości awansu/rozwoju zawodowego byłyby większe niż obecne"
"ep109_4","jeśli miałabym pewność zatrudnienia przynajmniej przez rok"
"ep109_5","na żadnych warunkach nie podjęłabym pracy poza krajem"
"ep110","Ile czasu przeciętnie zabiera Pani droga z miejsca zamieszkania do pracy?"
"ep111","Ile razy zmieniła Pani miejsce pracy w latach?"
"ep112_1","dobrowolna decyzja w celu podjęcia lepszej/ lepiej płatnej pracy"
"ep112_2","skończyła się umowa o pracę na czas określony"
"ep112_3","z przyczyn niezależnych ode mnie"
"ep112_4","inne powody"
"ep113","Czy zmiana miejsca pracy wiązała się także ze zmianą wykonywanego zawodu?"
"ep114","Czy zmiana miejsca pracy wiązała się ze zmianą miejsca zamieszkania?"
"ep115_1","nauka, uzupełnianie kwalifikacji"
"ep115_2","zajmowanie się domem"
"ep115_3","ze względu na opiekę nad dziećmi"
"ep115_4","ze względu na opiekę nad niepełnosprawnymi i starszymi członkami gospodarstwa"
"ep115_5","ze względu na stan zdrowia"
"ep115_6","ze względu na nieodpowiedni wiek"
"ep115_7","ze względu na brak kwalifikacji odpowiadających pracodawcom"
"ep115_8","emerytura"
"ep115_9","ze względu na trudności ze znalezieniem pracy"
"ep115_10","otrzymywanie świadczeń społecznych"
"ep115_11","nie chciałam pracować"
"ep116_1","gdyby była możliwość podjęcia pracy w niepełnym wymiarze"
"ep116_2","gdyby była możliwość wykonywania przynajmniej części pracy w domu"
"ep116_3","gdyby była możliwość elastycznego organizowania czasu pracy"
"ep116_4","gdyby była możliwość otrzymywanie większej pomocy ze strony innych członków rodziny w wykonywaniu obowiązków rodzinnych"
"ep116_5","gdyby była możliwość skorzystania z odpowiedniej opieki dla dzieci lub chorych"
"ep116_6","gdyby była możliwość zachowania  prawa do otrzymywanych obecnie świadczeń społecznych"
"ep116_7","gdyby utworzono dogodne warunki pracy i dojazdu do pracy dla osób niepełnosprawnych"
"ep116_8","inne"
"ep116_9","nie chcę w ogóle pracować"
"ep117","Czy w okresie ostatnich 12 miesięcy skorzystała Pani z prawa do urlopu wychowawczego"
"ep118","w jakiej formie skorzystała Pani z prawa do urlopu wychowawczego"
"ep119","Czy w trakcie urlopu wychowawczego pobierała Pani dodatek wychowawczy"
"ep120_1","brak dodatku wychowawczego lub dodatek zbyt niski"
"ep120_2","brak wystarczającej możliwości swobodnego wyboru okresu urlopu wychowawczego"
"ep120_3","negatywne skutki dla wysokości przyszłej emerytury"
"ep120_4","negatywne skutki dla mojej kariery zawodowej (negatywny stosunek pracodawcy)"
"ep120_5","chciałam jak najszybciej powrócić do pracy"
"ep120_6","inny powód"
"ep121","Ile godzin w ostatnim tygodniu spędziła Pani przy komputerze?"
"ep122_1","praca"
"ep122_2","nauka"
"ep122_3","rozrywka"
"ep122_4","informacje"
"ep122_5","kontakty"
"ep123_1","kopiowanie lub przenoszenie pliku albo folderu"
"ep123_2","używanie polecenia kopiowania, wycinania i wklejania w celu powielenia lub przemieszczenia wybranych fragmentów dokumentu"
"ep123_3","wykorzystanie podstawowych funkcji matematycznych w arkuszu kalkulacyjnym"
"ep123_4","tworzenie elektronicznej prezentacji"
"ep123_5","instalowanie nowych urządzeń (np. drukarki, modemu, skanera)"
"ep123_6","przesyłanie e-maila z załącznikami (np. dokumentami, plikami graficznymi)"
"ep123_7","używanie wyszukiwarki internetowej (np. Google, Yahoo!) w celu znalezienia informacji"
"ep123_8","tworzenie strony internetowej"
"ep123_9","pisanie programu komputerowego z użyciem języka programowania"
"ep124","Kiedy zaczęła Pani korzystać z internetu? (proszę podać rok)"
"ep125","Ile godzin w ostatnim tygodniu korzystała Pani z internetu?"
"ep126","Czy kiedykolwiek spotkała się Pani osobiście z osobami poznanymi przez internet?"
"ep127k1","kiedykolwiek:sprawdzanie i wysyłanie poczty elektronicznej (e-mail)"
"ep127k2","kiedykolwiek:korzystanie z komunikatorów umożliwiających rozmowy ze znajomymi (takich jak ICQ, gadu-gadu itp.)"
"ep127k3","kiedykolwiek:uczestniczenie w czatach"
"ep127k4","kiedykolwiek:uczestniczenie w grupach lub forach dyskusyjnych"
"ep127k5","kiedykolwiek:telefonowanie przez internet (VoIP, Skype),"
"ep127k6","kiedykolwiek:odbywanie wideokonferencji"
"ep127k7","kiedykolwiek:przeglądanie stron WWW"
"ep127k8","kiedykolwiek:zbieranie materiałów potrzebnych do nauki lub pracy"
"ep127k9","kiedykolwiek:uczestniczenie w kursach lub szkoleniach przez internet"
"ep127k10","kiedykolwiek:szukanie pracy, wysyłanie ofert dotyczących zatrudnienia"
"ep127k11","kiedykolwiek:kupowanie produktów przez internet (poza aukcjami)"
"ep127k12","kiedykolwiek:korzystanie z banku przez internet"
"ep127k13","kiedykolwiek:uczestniczenie w aukcjach internetowych"
"ep127k14","kiedykolwiek:granie w gry sieciowe przez internet"
"ep127k15","kiedykolwiek:ściąganie darmowego oprogramowania"
"ep127k16","kiedykolwiek:ściąganie darmowej muzyki, filmów"
"ep127k17","kiedykolwiek:tworzenie lub modyfikowanie własnej strony WWW lub bloga."
"ep127k18","kiedykolwiek:tworzenie i publikowanie własnych tekstów, grafiki, muzyki lub innej twórczości w internecie"
"ep127k19","kiedykolwiek:uzyskiwanie informacji ze stron internetowych instytucji publicznych"
"ep127k20","kiedykolwiek:pobieranie lub wypełnianie formularzy urzędowych"
"ep127k21","kiedykolwiek:słuchanie muzyki lub radia przez internet"
"ep127k22","kiedykolwiek:oglądanie telewizji przez internet"
"ep127k23","kiedykolwiek:rezerwacja biletów (np. lotniczych, do kina, do teatru)"
"ep127k24","kiedykolwiek:czytanie gazet przez internet"
"ep127k25","kiedykolwiek:korzystanie z Internetu i poczty elektronicznej z komputera domowego w celach zawodowych"
"ep127k26","kiedykolwiek:odwiedzanie portali społecznościowych (np. Nasza Klasa)"
"ep127o1","w ost.tyg.:sprawdzanie i wysyłanie poczty elektronicznej (e-mail)"
"ep127o2","w ost.tyg.:korzystanie z komunikatorów umożliwiających rozmowy ze znajomymi (takich jak ICQ, gadu-gadu itp.)"
"ep127o3","w ost.tyg.:uczestniczenie w czatach"
"ep127o4","w ost.tyg.:uczestniczenie w grupach lub forach dyskusyjnych"
"ep127o5","w ost.tyg.:telefonowanie przez internet (VoIP, Skype),"
"ep127o6","w ost.tyg.:odbywanie wideokonferencji"
"ep127o7","w ost.tyg.:przeglądanie stron WWW"
"ep127o8","w ost.tyg.:zbieranie materiałów potrzebnych do nauki lub pracy"
"ep127o9","w ost.tyg.:uczestniczenie w kursach lub szkoleniach przez internet"
"ep127o10","w ost.tyg.:szukanie pracy, wysyłanie ofert dotyczących zatrudnienia"
"ep127o11","w ost.tyg.:kupowanie produktów przez internet (poza aukcjami)"
"ep127o12","w ost.tyg.:korzystanie z banku przez internet"
"ep127o13","w ost.tyg.:uczestniczenie w aukcjach internetowych"
"ep127o14","w ost.tyg.:granie w gry sieciowe przez internet"
"ep127o15","w ost.tyg.:ściąganie darmowego oprogramowania"
"ep127o16","w ost.tyg.:ściąganie darmowej muzyki, filmów"
"ep127o17","w ost.tyg.:tworzenie lub modyfikowanie własnej strony WWW lub bloga."
"ep127o18","w ost.tyg.:tworzenie i publikowanie własnych tekstów, grafiki, muzyki lub innej twórczości w internecie"
"ep127o19","w ost.tyg.:uzyskiwanie informacji ze stron internetowych instytucji publicznych"
"ep127o20","w ost.tyg.:pobieranie lub wypełnianie formularzy urzędowych"
"ep127o21","w ost.tyg.:słuchanie muzyki lub radia przez internet"
"ep127o22","w ost.tyg.:oglądanie telewizji przez internet"
"ep127o23","w ost.tyg.:rezerwacja biletów (np. lotniczych, do kina, do teatru)"
"ep127o24","w ost.tyg.:czytanie gazet przez internet"
"ep127o25","w ost.tyg.:korzystanie z Internetu i poczty elektronicznej z komputera domowego w celach zawodowych"
"ep127o26","kiedykolwiek:odwiedzanie portali społecznościowych (np. Nasza Klasa)"
"ep128","Czy czuje się Pani źle traktowana przez innych tylko ze względu na swoją niepełnosprawność"
"ep129_1","bariery architektoniczne"
"ep129_2","nieżyciowe przepisy utrudniające dostęp do miejsc publicznych"
"ep129_3","niewłaściwy stosunek ludzi do takich osób jak ja"
"ep129_4","brak wiary we własne możliwości"
"ep129_5","niechęć pracodawców do zatrudniania takich osób jak ja"
"ep129_6","nadmierna opieka i niewiara opiekunów w moją samodzielność"
"ep129_7","brak opieki, samotność"
"ep129_8","brak właściwych form rehabilitacji"
"ep129_9","inne"
"ep129_10","nic"
"ep130","W jakim towarzystwie czuje się Pani najlepiej"
"ep131","Czy napotyka Pani na bariery architektoniczne"
"ep132_1","zbyt wąskie otwory drzwiowe"
"ep132_2","zbyt wąskie korytarze"
"ep132_3","brak windy"
"ep132_4","wysokie lub strome schody"
"ep132_5","zbyt wąska klatka schodowa"
"ep132_6","brak poręczy i uchwytów"
"ep132_7","brak podjazdu do budynku dla osób na wózku"
"ep132_8","nierówne podłogi i wysokie progi w drzwiach"
"ep132_9","inne"
"fC4","Stopien pokrewienstwa z glowa gospodarstwa"
"fC5","Numer rodziny"
"fC6","Stopien pokrewienstwa z glowa rodziny"
"fC7","Data urodzenia dzien"
"fC8","Data urodzenia miesiac"
"fC11","Stan cywilny"
"fC12","Data zawarcia malzenstwa miesiac"
"fC13","Data zawarcia malzenstwa rok"
"fC14","Data rozpadu malzenstwa miesiac"
"fC15","Data rozpadu malzenstwa rok"
"fC18","Kierunek ukonczonego wyksztalcenia"
"fC19","Status edukacyjny"
"fC20","Rodzaj uslugi edukacyjnej 1"
"fC21","Rodzaj uslugi edukacyjnej 2"
"fC22","Prawo jazdy"
"fC23","angielski"
"fC24","niemiecki"
"fC25","francuski"
"fC26","rosyjski"
"fC27","hiszpański"
"fC28","inny"
"fC29","Czy ma telefon komorkowy, smartphone badz PDA?"
"fC30","Czy ma konto?"
"fC31","Czy ma kartę platniczą"
"fC32","Czy ma rachunek oszczednościowy"
"fC33","Czy ma kartę kredytową"
"fC34","Czy ma limit w koncie"
"fC35","Niepelnosprawnosc "
"fC36","Orzeczenie o stopniu niepelnosprawnosci?"
"fC37","Zrodlo utrzymania glowne"
"fC38","Zrodlo utrzymania dodatkowe"
"fC39","Przyczyna czasowej nieobecnosci"
"fC40","Status czlonkostwa osoby w gosp."
"fC41","data przybycia miesiac"
"fC42","data przybycia rok"
"fC43","data opuszczenia miesiac"
"fC44","data opuszczenia rok"
"fC45","przyczyna przybycia"
"fC46","przyczyna opuszczenia"
"fC47","Rezultat wywiadu indywidualnego"
"fD1","Numer porzadkowy osoby (ten sam co w czesci C)"
"fD2","Czy w ciagu ostatnich 7 dni osoba wykonywala prace przynoszaca zarobek"
"fD3","Czy w ciagu ostatnich 7 dni osoba miala prace jako pracownik najemny,"
"fD4","Ile godzin pracowala osoba w ciagu ostatnich 7 dni?"
"fD5","Jaki rodzaj pracy wykonuje osoba w swoim glownym miejscu pracy?"
"fD6","Czy praca w pełnym wymiarze?"
"fD7","Dlaczego osoba pracuje w niepelnym wymiarze czasu pracy?"
"fD8","Czy osoba jest zarejestrowana jako bezrobotna w urzedzie pracy?"
"fD9","Czy otrzymuje zasilek dla bezrobotnych?"
"fD10","Czy osoba poszukiwala pracy lub innej pracy w ciagu ostatnich 4 tygodn"
"fD11","Dlaczego nie poszukuje pracy?"
"fD12","Czy jest gotowa do podjecia pracy w tym lub nastepnym tygodniu?"
"fD13","Jak dlugo osoba pozostaje obecnie bez pracy? lata"
"fD14","Jak dlugo osoba pozostaje obecnie bez pracy? miesiace"
"fD15","Wlasnosc instytucji, w ktorej osoba pracuje jako w glownym miejscu pra"
"fD16","Wlasnosc instytucji, w ktorej osoba pracuje jako w dodatkowym miejscu"
"fD17","Czy glowne miejsce pracy znajduje sie w miejscowosci zamieszkania? (dl"
"F_ZAWOD_AKTYWNI","ZAWÓD OBECNIE WYKONYWANY ISCO 2011"
"F_ZAWOD_BIERNI","Zawod wykonywany w ostatnim miejscu pracy (dla osob obecnie niepracujących) 2011"
"F_ZAWOD_OGOLEM","ZAWÓD OBECNIE LUB W PRZESZŁOŚCI WYKONYWANY ISCO 2011"
"fD20","Ile razy osoba byla zarejestrowana w urzedzie pracy jako bezrobotna w"
"fD21","Jak dlugo lacznie w ostatnich 2 latach osoba pozostawala bez pracy? (w"
"fD23","Czy osoba uczestniczyla w jakiejkolwiek aktywnosci zwiazanej z podnosz"
"fD24","rodzaj aktywnosci edukacyjnej 1"
"fD25","rodzaj aktywnosci edukacyjnej 2"
"fD26","rodzaj aktywnosci edukacyjnej 3"
"fD27","Czy osoba pracowala za granica w okresie 2007-2011?"
"fD28","Czy osoba uczyla sie za granica w okresie 2007-2011?"
"fD29","Ile razy wyjezdzala za granice i tam pracowala lub uczyla sie w okresi"
"fD30","W jakich krajach pracowala lub uczyla sie? 1"
"fD31","W jakich krajach pracowala lub uczyla sie? 2"
"fD32","Podac laczny czas pracy"
"fD33","Podac laczny czas nauki"
"fD34","Jesli osoba wrocila w ostatnim roku po pobycie dluzszym niz 6 miesiecy"
"fH1","Numer dziecka"
"fH2","Poziom wyksztalcenia"
"fH3","Ocena szans"
"fH4","korzysta z komputera"
"fH5","korzysta z internetu?"
"FK2","Osoba przebywała w szpitalu w ost. roku"
"fp2_1","PIENIĄDZE"
"fp2_2","DZIECI"
"fp2_3","UDANE MAŁŻEŃSTWO"
"fp2_4","PRACA"
"fp2_5","PRZYJACIELE"
"fp2_6","OPATRZNOŚĆ, BÓG"
"fp2_7","POGODA DUCHA, OPTYMIZM"
"fp2_8","UCZCIWOŚĆ"
"fp2_9","ŻYCZLIWOŚĆ I SZACUNEK OTOCZENIA"
"fp2_10","WOLNOŚĆ, SWOBODA"
"fp2_11","ZDROWIE"
"fp2_12","WYKSZTAŁCENIE"
"fp2_13","SILNY CHARAKTER"
"fp2_14","INNE"
"fp3","Jak ocenia Pan swoje całe dotychczasowe życie, czy mógłby Pan powiedzieć, że było? (proszę przekreślić kwadrat przy wybranej odpowiedzi)"
"fp4","Kiedy żyło się Panu łatwiej - przed 1989 rokiem czy obecnie? "
"fp5","Oczekiwania żony wobec Pana były tak duże, że nie mógł im Pan sprostać "
"fp6","Żona wydawała wspólne pieniądze w sposób zbyt rozrzutny "
"fp7","Problemy i kłopoty żony przysparzały zmartwień i utrudniały Panu życie "
"fp8","Musiał Pan wysłuchiwać skarg na swoje dziecko/dzieci (np. w szkole, od sąsiadów, od innych rodziców) "
"fp9","Poniósł Pan jakieś koszty w związku z tym, co zrobiło Pana dziecko "
"fp10","Dziecko lekceważyło sobie i odrzucało Pana pomoc, rady i wskazówki "
"fp11","Czuł Pan, że traci wpływ na swoje dziecko/dzieci "
"fp12","Miał Pan zbyt mało czasu dla swojego dziecka "
"fp13","Czuł Pan, że Pana źródło dochodów jest niestałe i niepewne "
"fp14","Problemy i kłopoty finansowe przysparzały zmartwień i utrudniały Panu życie "
"fp15","Czuł Pan, że Pana praca jest zbyt uciążliwa, brudna lub niebezpieczna "
"fp16","Odczuwał Pan nadmiar obowiązków w pracy, którym nie mógł podołać "
"fp17","Był Pan traktowany niesprawiedliwie przez innych w pracy "
"fp18","Odczuwał Pan nadmierne zatłoczenie w miejscu zamieszkania, np. że za dużo osób mieszka w Pana mieszkaniu, w klatce schodowej, w całym budynku "
"fp19","Obawiał się Pan przestępczości, narkomanii, chuligaństwa w swojej dzielnicy, osiedlu, okolicy "
"fp20","Problemy związane z sąsiadami lub innymi ludźmi z okolicy zatruwały Pani życie "
"fp21","Denerwowały Pana decyzje i działania miejscowych władz "
"fp22","Odczuwał Pan dolegliwości fizyczne, takie na przykład jak łamanie w kościach, trudności z oddychaniem itp., które utrudniały Panu wychodzenie z domu, chodzenie po schodach itp. "
"fp23","Problemy ze zdrowiem utrudniały Panu wykonywanie codziennych zajęć lub branie udziału w innych zajęciach "
"fp24","Załatwiał Pan jakąś sprawę urzędową "
"fp25","Nie mógł Pan sprawnie, szybko i bez trudności załatwić jakiejś sprawy urzędowej "
"fp26","Musiał Pan szukać znajomości lub innych sposobów, aby załatwić jakąś sprawę urzędową"
"fp27","Czuł się Pan całkowicie bezsilny i upokorzona przy załatwianiu jakiejś sprawy urzędowej"
"fp28","Czy głosował Pan w ostatnich wyborach samorządowych w 2010 roku? "
"fp29","Co jest według Pana ważniejsze w życiu?"
"fp30","Podjął Pan lepiej płatną lub dodatkową pracę `"
"fp31","Zainwestował Pan jakieś pieniądze w produkcję, handel lub usługi "
"fp32","Zarobił Pan pieniądze na akcjach, obligacjach lub jednostkach uczestnictwa w jakimś funduszu "
"fp33","Zdobył Pan nowe kwalifikacje lub umiejętności z myślą o możliwości lepszych zarobków "
"fp34","Czy obstawia Pan jakieś zakłady (np. w grach liczbowych typu LOTTO, wyścigach konnych, zawodach sportowych itd.)"
"fp35","Biorąc wszystko razem pod uwagę, jak oceniłby Pan swoje życie w tych dniach - czy mógłby Pan powiedzieć, że jest: "
"fp36_1","opłacanych przez Narodowy Fundusz Zdrowia "
"fp36_2","opłacanych z własnej kieszeni "
"fp36_3","opłacanych przez pracodawcę, który wykupił abonament "
"fp37","Jak często w minionych miesiącach zdarzało się Panu być tak załamanym, że myślał Pan o samobójstwie?"
"fp38","Czy czuje się Pan kochany i darzony zaufaniem? "
"fp39","Jak często przeciętnie w ciągu miesiąca bierze Pan udział w nabożeństwach lub innych spotkaniach o charakterze religijnym?"
"fp40","Ile osób zalicza Pan do grona swoich przyjaciół"
"fp41","Jak silne w tych dniach jest Pana pragnienie życia? (proszę przekreślić kwadrat przy odpowiedniej cyfrze na poniższej skali)"
"fp42","Czy czuje się Pan osamotniony, mimo że tego nie chce? "
"fp43","Czy Pana zdaniem reformy w Polsce po 1989 roku udały się ogólnie, czy raczej nie udały?"
"fp44","Czy pali Pan papierosy? "
"fp45","ile przeciętne sztuk papierosów dziennie Pan wypala?"
"fp46","Czy kiedykolwiek w życiu palił Pan papierosy? "
"fp47","Czy w ciągu ostatnich dwóch lat zdarzyło się, że angażował się Pan w działania na rzecz społeczności lokalnej (gminy, osiedla, miejscowości, w najbliższym sąsiedztwie)? "
"fp48_1","zwracam się o radę i pomoc do innych ludzi"
"fp48_2","mobilizuję się i przystępuję do działania"
"fp48_3","sięgam po alkohol"
"fp48_4","pocieszam się myślą, że mogło być jeszcze gorzej, lub że innym jest jeszcze gorzej"
"fp48_5","poddaję się, nie wiem, co robić"
"fp48_6","zażywam środki uspokajające"
"fp48_7","modlę się o pomoc do Boga"
"fp48_8","zajmuję się innymi rzeczami, które odwracają moją uwagę i poprawiają nastrój"
"fp49","Jakie wykształcenie miał Pana ojciec (lub główny opiekun/opiekunka), gdy miał Pan 14 lat?"
"fp50","Czy w ostatnim roku był Pan na jakimś zebraniu publicznym (ale nie w miejscu pracy)? "
"fp51","Czy w ostatnim roku wykonywał Pan nieodpłatnie jakąś pracę lub świadczył jakieś usługi dla osób spoza rodziny bądź na rzecz organizacji społecznej"
"fp52","Czy jest Pan członkiem jakichś organizacji, stowarzyszeń, partii, komitetów, rad, grup religijnych, związków lub kół? "
"fp53","czy pełni Pan jakieś funkcje w takich organizacjach?"
"fp54","Czy używa Pan komputera w pracy, w domu lub w innym miejscu, przynajmniej od czasu do czasu? "
"fp55","Jaki jest Pana wzrost?"
"fp56","Jaka jest Pana waga?"
"fp57n","N.kategorie odczuć i zachowań: WYGLĄD"
"fp57o","O.kategorie odczuć i zachowań: ZAPAŁ DO PRACY"
"fp57p","P.kategorie odczuć i zachowań: SEN"
"fp57q","Q.kategorie odczuć i zachowań: MĘCZLIWOŚĆ"
"fp57r","R.kategorie odczuć i zachowań: APETYT"
